ATF6B	ARHGEF40	0.958241169145305
ARID3A	BACE2	0.939947664617191
ATF6B	AKAP11	0.920781917211484
ATF4	ABHD13	0.884540835668654
ARID3B	ANKRD36C	0.883115746152061
ARID3B	AP2A1	0.878121216006885
ARID3B	AC007405.6	0.8773740264832
ATF1	AC068282.3	0.875302534070393
ATF4	AIP	0.856024398149601
ARID3B	ANKRD16	0.85414114478128
ARNT2	BAX	0.849761339595232
ATF4	ANXA6	0.842784654140717
AR	AC093375.1	0.835843280248516
ATF6B	A2ML1-AS1	0.835735928589995
AR	ASCC1	0.835209244407033
ATF4	B3GALT6	0.834790688825914
ARNT2	B3GAT1	0.833036971360151
ATF4	AZIN1-AS1	0.830657961147262
ATF6B	ALG11	0.822788612237602
ATF4	AARS2	0.820433632638472
BBX	B4GALT6	0.818075429101678
ATF4	AMZ2P1	0.817777803405051
ATF3	AC093627.9	0.812487631739533
AR	APC	0.81157351117879
ARID3A	ATG2A	0.808368014802781
BACH1	AGK	0.805357559722104
ATF4	ATG101	0.799784621197675
ATF4	ARHGEF11	0.797585357819703
ATF4	ABL2	0.795766040273712
ATF4	ATP8A1	0.794579009445928
BBX	AC007566.10	0.78526254537775
BBX	AP5M1	0.78382879948493
AR	B3GAT3	0.781292816849095
ARID3A	AIM1	0.779076400536475
ATF4	ATG2B	0.777658336496062
ARID3B	ASL	0.772498815355562
ATF4	ATP8A2	0.765286235468746
ATF1	ANKMY2	0.765203505679473
ATF4	ARHGAP12	0.765192188696656
BBX	ATRAID	0.759767891820781
ATF2	B3GNT5	0.755903730712544
ATF4	ABHD12	0.755786555639508
ATF6	BAG5	0.747373456877968
ATF6	ATXN7L3	0.739589865186565
ATF4	AGAP3	0.739123379226576
BBX	ATP6V1B2	0.738095988270557
BBX	ARFIP1	0.734881958522172
AR	ARL14EP	0.73488135795133
ARID3A	ARHGEF26	0.734605053147437
ARID3B	ACER3	0.734407321447761
ATF6B	ADAMTS7	0.734027434819595
BACH1	AKNA	0.730201099192237
ATF2	ATP5I	0.729278228940764
ATF6	ANKRD42	0.727772352787458
ATF6B	ARF6	0.725479578062175
ATF6	ACACB	0.723683342568074
BBX	ARHGEF9	0.717223036043195
ATF2	ANKIB1	0.714019545769419
BACH1	AGBL3	0.713811883131051
BACH1	ATXN7L2	0.708592536321279
ARID3A	APELA	0.70608144625253
AR	AGO3	0.701402665555866
ATF4	AGAP6	0.697020365688223
ATF1	ARL10	0.693089673544656
ATF2	ASB13	0.692445326662065
ARID3B	AP002954.4	0.692311631834445
ARID3A	ALG13	0.692219118468053
BBX	ASTN1	0.69220677969153
ARID3B	APIP	0.6915868816655
ARID3B	ARL4C	0.690640058909573
ATF1	AC005682.5	0.690128532970451
ATF2	ATP13A1	0.68905830109069
ATF4	ACTR3B	0.687517575914169
ATF4	AAR2	0.684632365349649
ATF2	ASTN2	0.683371481739139
ATF6B	ARMC8	0.681256174958292
ATF4	B3GAT2	0.680032775404236
ARID2	AKT2	0.678801510154282
ATF4	ATP5G3	0.670089484467536
ATF1	AC011288.2	0.667774338942042
BBX	ACP6	0.666191713918394
ARID3A	AGAP1	0.666017175707018
BBX	ALDH2	0.663610661167915
BBX	ARHGEF16	0.663570998753356
ATF4	AC004967.7	0.663348556938293
ARNT2	AC074289.1	0.659929018267114
